date,product
2018-05-15,prod9557
2018-05-15,prod0036
2018-05-15,prod0829
2018-05-15,prod2687
2018-05-15,prod8412
2018-05-15,prod5710
2018-05-15,prod2746
2018-05-15,prod6212
2018-05-15,prod2166
2018-05-15,prod8694
2018-05-15,prod9354
2018-05-15,prod8131
2018-05-15,prod5540
2018-05-15,prod2283
2018-05-15,prod6960
2018-05-15,prod0805
2018-05-15,prod7352
2018-05-15,prod7869
2018-05-15,prod8084
2018-05-15,prod0526
2018-05-15,prod7343
2018-05-15,prod1990
2018-05-15,prod0901
2018-05-15,prod0030
2018-05-15,prod0528
2018-05-15,prod2754
2018-05-15,prod5694
2018-05-15,prod3807
2018-05-15,prod8005
2018-05-15,prod9829
2018-05-15,prod7781
2018-05-15,prod7801
2018-05-15,prod4402
2018-05-15,prod6465
2018-05-15,prod8509
2018-05-15,prod4760
2018-05-15,prod1970
2018-05-15,prod6282
2018-05-15,prod5723
2018-05-15,prod3478
2018-05-15,prod1572
2018-05-15,prod0433
2018-05-15,prod8508
2018-05-15,prod6023
2018-05-15,prod0740
2018-05-15,prod0790
2018-05-15,prod5153
2018-05-15,prod2714
2018-05-15,prod4827
2018-05-15,prod8969
2018-05-15,prod7674
2018-05-15,prod0665
2018-05-15,prod6423
2018-05-15,prod3350
2018-05-15,prod8433
2018-05-15,prod9319
2018-05-15,prod9210
2018-05-15,prod0997
2018-05-15,prod0549
2018-05-15,prod7224
2018-05-15,prod0216
2018-05-15,prod0532
2018-05-15,prod2821
2018-05-15,prod5841
2018-05-15,prod6489
2018-05-15,prod6008
2018-05-15,prod2208
2018-05-15,prod8590
2018-05-15,prod3252
2018-05-15,prod0482
2018-05-15,prod9252
2018-05-15,prod5546
2018-05-15,prod4485
2018-05-15,prod7844
2018-05-15,prod0241
2018-05-15,prod2510
2018-05-15,prod3700
2018-05-15,prod7931
2018-05-15,prod8075
2018-05-15,prod7626
2018-05-15,prod1520
2018-05-15,prod8712
2018-05-15,prod1624
2018-05-15,prod5990
2018-05-15,prod3212
2018-05-15,prod5947
2018-05-15,prod1415
2018-05-15,prod5406
2018-05-15,prod7580
2018-05-15,prod5708
2018-05-15,prod9452
2018-05-15,prod3679
2018-05-15,prod8781
2018-05-15,prod8061
2018-05-15,prod0246
2018-05-15,prod2389
2018-05-15,prod7322
2018-05-15,prod0275
2018-05-15,prod2094
