date,product
2018-05-13,prod0809
2018-05-03,prod2383
2018-05-11,prod2585
2018-05-05,prod6030
2018-05-14,prod0693
2018-05-05,prod6093
2018-05-06,prod5133
2018-05-15,prod5215
2018-05-14,prod8141
2018-05-06,prod0875
2018-05-06,prod8022
2018-05-13,prod6405
2018-05-10,prod8796
2018-05-14,prod7951
2018-05-06,prod0553
2018-05-14,prod1685
2018-05-05,prod7648
2018-05-04,prod8884
2018-05-06,prod4417
2018-05-06,prod4409
2018-05-01,prod9941
2018-05-11,prod6869
2018-05-08,prod9512
2018-05-12,prod6150
2018-05-11,prod6458
2018-05-05,prod5668
2018-05-13,prod4415
2018-05-03,prod0899
2018-05-15,prod7769
2018-05-02,prod0866
2018-05-03,prod7054
2018-05-04,prod6608
2018-05-09,prod8248
2018-05-01,prod5051
2018-05-04,prod6918
2018-05-11,prod5411
2018-05-12,prod3991
2018-05-02,prod8881
2018-05-01,prod9353
2018-05-05,prod6610
2018-05-03,prod2237
2018-05-04,prod9398
2018-05-10,prod5501
2018-05-12,prod6802
2018-05-11,prod8785
2018-05-09,prod7550
2018-05-13,prod3408
2018-05-12,prod9891
2018-05-06,prod6029
2018-05-10,prod0712
2018-05-02,prod1511
2018-05-10,prod3592
2018-05-10,prod4684
2018-05-03,prod8273
2018-05-11,prod0463
2018-05-02,prod7528
2018-05-12,prod2340
2018-05-15,prod7681
2018-05-06,prod2704
2018-05-13,prod4665
2018-05-11,prod5801
2018-05-03,prod4297
2018-05-06,prod6108
2018-05-14,prod2632
2018-05-03,prod7242
2018-05-03,prod5723
2018-05-04,prod2740
2018-05-07,prod7207
2018-05-09,prod3349
2018-05-11,prod6793
2018-05-02,prod9055
2018-05-12,prod5279
2018-05-09,prod1198
2018-05-09,prod1788
2018-05-13,prod3741
2018-05-02,prod9630
2018-05-15,prod3692
2018-05-14,prod7168
2018-05-15,prod0714
2018-05-01,prod7507
2018-05-03,prod9280
2018-05-07,prod6197
2018-05-01,prod8514
2018-05-12,prod2207
2018-05-11,prod6856
2018-05-06,prod4834
2018-05-04,prod4329
2018-05-11,prod9068
2018-05-13,prod7316
2018-05-08,prod4324
2018-05-03,prod4412
2018-05-13,prod9045
2018-05-09,prod7650
2018-05-12,prod8013
2018-05-05,prod2805
2018-05-06,prod4645
2018-05-12,prod9980
2018-05-11,prod8798
2018-05-15,prod0035
2018-05-12,prod2567
2018-05-02,prod0225
2018-05-08,prod8171
2018-05-06,prod3082
2018-05-09,prod2675
2018-05-12,prod9950
2018-05-02,prod1361
2018-05-09,prod0541
2018-05-15,prod7349
2018-05-11,prod1933
2018-05-10,prod1009
2018-05-04,prod8281
2018-05-05,prod6289
2018-05-15,prod9150
2018-05-08,prod4548
2018-05-03,prod2553
2018-05-02,prod6360
2018-05-04,prod2474
2018-05-11,prod4608
2018-05-05,prod1549
2018-05-04,prod5515
2018-05-05,prod4591
2018-05-04,prod5238
2018-05-07,prod1077
2018-05-06,prod0147
2018-05-03,prod3450
2018-05-09,prod9976
2018-05-02,prod4750
2018-05-15,prod6452
2018-05-03,prod5321
2018-05-08,prod3121
2018-05-02,prod8912
2018-05-01,prod8215
2018-05-04,prod5418
2018-05-12,prod3278
2018-05-03,prod5441
2018-05-02,prod8007
2018-05-02,prod2818
2018-05-13,prod5923
2018-05-11,prod2697
2018-05-05,prod7008
2018-05-06,prod4146
2018-05-08,prod0609
2018-05-04,prod2527
2018-05-02,prod1309
2018-05-07,prod3561
2018-05-08,prod6923
2018-05-05,prod8440
2018-05-10,prod8712
2018-05-05,prod9390
2018-05-11,prod0494
2018-05-07,prod5154
2018-05-08,prod4732
2018-05-09,prod4609
2018-05-15,prod9606
2018-05-07,prod8950
2018-05-15,prod3984
2018-05-09,prod5378
2018-05-13,prod4087
2018-05-03,prod8693
2018-05-13,prod5769
2018-05-15,prod3014
2018-05-15,prod1052
2018-05-15,prod9015
2018-05-11,prod7364
2018-05-12,prod9305
2018-05-09,prod5378
2018-05-12,prod6414
2018-05-14,prod7383
2018-05-06,prod5542
2018-05-10,prod7803
2018-05-15,prod7697
2018-05-15,prod7765
2018-05-15,prod5985
2018-05-02,prod1734
2018-05-09,prod7217
2018-05-08,prod1503
2018-05-09,prod1553
2018-05-12,prod6632
2018-05-03,prod6078
2018-05-15,prod2012
2018-05-01,prod1372
2018-05-14,prod5987
2018-05-01,prod3386
2018-05-06,prod7203
2018-05-07,prod7467
2018-05-10,prod5240
2018-05-14,prod2402
2018-05-03,prod6740
2018-05-09,prod5288
2018-05-11,prod4960
2018-05-04,prod9183
2018-05-15,prod5218
2018-05-02,prod7250
2018-05-13,prod7354
2018-05-08,prod7064
2018-05-15,prod2488
2018-05-13,prod5650
2018-05-15,prod9730
2018-05-09,prod9845
2018-05-02,prod3339
2018-05-06,prod6258
2018-05-09,prod9902
2018-05-01,prod6072
2018-05-11,prod5312
2018-05-07,prod7159
2018-05-13,prod0841
2018-05-15,prod1189
2018-05-01,prod2208
2018-05-13,prod6669
2018-05-14,prod0357
2018-05-12,prod5589
2018-05-03,prod7761
2018-05-01,prod1474
2018-05-14,prod8097
2018-05-05,prod7709
2018-05-06,prod9739
2018-05-08,prod2914
2018-05-13,prod7115
2018-05-07,prod4426
2018-05-01,prod2426
2018-05-14,prod3126
2018-05-15,prod9337
2018-05-10,prod1061
2018-05-02,prod0989
2018-05-09,prod6633
2018-05-09,prod0737
2018-05-02,prod0918
2018-05-01,prod1115
2018-05-10,prod2787
2018-05-06,prod9706
2018-05-15,prod0543
2018-05-01,prod9296
2018-05-03,prod0189
2018-05-15,prod2544
2018-05-11,prod5148
2018-05-14,prod5968
2018-05-08,prod4605
2018-05-04,prod7244
2018-05-15,prod9399
2018-05-05,prod6360
2018-05-04,prod0574
2018-05-12,prod9666
2018-05-13,prod8473
2018-05-09,prod6023
2018-05-14,prod1880
2018-05-08,prod7651
2018-05-03,prod6931
2018-05-05,prod4245
2018-05-09,prod4555
2018-05-06,prod0660
2018-05-01,prod3850
2018-05-13,prod2528
2018-05-05,prod9442
2018-05-09,prod6121
2018-05-13,prod4152
2018-05-15,prod9108
2018-05-10,prod4054
2018-05-15,prod1167
2018-05-12,prod8705
2018-05-03,prod5555
2018-05-10,prod8157
2018-05-06,prod3067
2018-05-13,prod8200
2018-05-10,prod4565
2018-05-07,prod2208
2018-05-06,prod5997
2018-05-11,prod1902
2018-05-05,prod2180
2018-05-04,prod1054
2018-05-12,prod2417
2018-05-02,prod0474
2018-05-06,prod1646
2018-05-10,prod5656
2018-05-04,prod8917
2018-05-11,prod8310
2018-05-11,prod0176
2018-05-06,prod5914
2018-05-03,prod9644
2018-05-10,prod0447
2018-05-12,prod3458
2018-05-04,prod6285
2018-05-03,prod2348
2018-05-07,prod1406
2018-05-01,prod1904
2018-05-09,prod3840
2018-05-13,prod8235
2018-05-09,prod5187
2018-05-01,prod0685
2018-05-01,prod7416
2018-05-10,prod4193
2018-05-10,prod0844
2018-05-07,prod2298
2018-05-08,prod0792
2018-05-07,prod9384
2018-05-06,prod0615
2018-05-13,prod3806
2018-05-14,prod4022
2018-05-11,prod3407
2018-05-04,prod2199
2018-05-02,prod9267
2018-05-04,prod6391
2018-05-03,prod7599
2018-05-09,prod0755
2018-05-04,prod0771
2018-05-04,prod9314
2018-05-05,prod5651
2018-05-07,prod5798
2018-05-14,prod9133
2018-05-04,prod3521
2018-05-14,prod3131
2018-05-07,prod9609
2018-05-08,prod7568
2018-05-07,prod2751
2018-05-03,prod6101
2018-05-14,prod0281
2018-05-11,prod7796
2018-05-11,prod8970
2018-05-12,prod0552
2018-05-13,prod5297
2018-05-15,prod6898
2018-05-10,prod2581
2018-05-13,prod1940
2018-05-11,prod7013
2018-05-02,prod1351
2018-05-03,prod8203
2018-05-10,prod2198
2018-05-02,prod7842
2018-05-01,prod2431
2018-05-10,prod5402
2018-05-15,prod8347
2018-05-03,prod4632
2018-05-06,prod5604
2018-05-03,prod5023
2018-05-07,prod0167
2018-05-04,prod2300
2018-05-04,prod4414
2018-05-14,prod2829
2018-05-12,prod6116
2018-05-05,prod3323
2018-05-01,prod1194
2018-05-08,prod4571
2018-05-01,prod0835
2018-05-10,prod7202
2018-05-04,prod3652
2018-05-08,prod7321
2018-05-05,prod1089
2018-05-09,prod6652
2018-05-04,prod4777
2018-05-02,prod8021
2018-05-01,prod1620
2018-05-13,prod2765
2018-05-03,prod0847
2018-05-06,prod0427
2018-05-05,prod3818
2018-05-06,prod0621
2018-05-14,prod1342
2018-05-01,prod9328
2018-05-01,prod0465
2018-05-11,prod4371
2018-05-09,prod4374
2018-05-06,prod8365
2018-05-08,prod1556
2018-05-03,prod3575
2018-05-08,prod2442
2018-05-12,prod0429
2018-05-03,prod4520
2018-05-02,prod6096
2018-05-07,prod5831
2018-05-15,prod9735
2018-05-11,prod9241
2018-05-11,prod4453
2018-05-08,prod8072
2018-05-04,prod8514
2018-05-05,prod2360
2018-05-08,prod9152
2018-05-03,prod9802
2018-05-05,prod9125
2018-05-08,prod6163
2018-05-09,prod2572
2018-05-01,prod6348
2018-05-13,prod1186
2018-05-13,prod3248
2018-05-07,prod9610
2018-05-15,prod9981
2018-05-09,prod7298
2018-05-10,prod6288
2018-05-10,prod4436
2018-05-01,prod3331
2018-05-12,prod3607
2018-05-07,prod4085
2018-05-01,prod9831
2018-05-13,prod1464
2018-05-07,prod0355
2018-05-04,prod5794
2018-05-06,prod5631
2018-05-10,prod3391
2018-05-05,prod4284
2018-05-11,prod9691
2018-05-04,prod1881
2018-05-15,prod0079
2018-05-10,prod0372
2018-05-04,prod7701
2018-05-09,prod2625
2018-05-04,prod7113
2018-05-04,prod8104
2018-05-15,prod4358
2018-05-01,prod2799
2018-05-15,prod4175
2018-05-10,prod0319
2018-05-13,prod4907
2018-05-10,prod5501
2018-05-15,prod3705
2018-05-10,prod0383
2018-05-07,prod4815
2018-05-08,prod7299
2018-05-08,prod0799
2018-05-13,prod6964
2018-05-09,prod4539
2018-05-14,prod5920
2018-05-09,prod1769
2018-05-06,prod6618
